Abilene,TX,10180,Abilene,TX,30136
Aguadilla-Isabela,PR,10380,Aguadilla,PR,30732
Albany,GA,10500,Albany,GA,30146
Albany-Schenectady-Troy,NY,10580,Albany,NY,30257
Albuquerque,NM,10740,Albuquerque,NM,30140
Alexandria,LA,10780,Alexandria,LA,30185
Allentown-Bethlehem-Easton,PA-NJ,10900,Allentown-Bethlehem-Easton,PA,30135
Altoona,PA,11020,Altoona,PA,30322
Amarillo,TX,11100,Amarillo,TX,30279
Anchorage,AK,11260,Anchorage,AK,30299
Appleton,WI,11540,Appleton,WI,30408
Asheville,NC,11700,Asheville,NC,30431
Athens-Clarke County,GA,12020,Athens,GA,30216
Atlanta-Sandy Springs-Roswell,GA,12060,Atlanta,GA (Metropolitan Area),30397
Atlantic City-Hammonton,NJ,12100,Atlantic City,NJ,30158
Augusta-Richmond County,GA-SC,12260,Augusta,GA,30208
Austin-Round Rock,TX,12420,Austin,TX,30423
Bakersfield,CA,12540,Bakersfield,CA,30561
Bangor,ME NECTA,70750,Bangor,ME,30581
Baton Rouge,LA,12940,Baton Rouge,LA,30781
Bay City,MI,13020,Saginaw-Bay City-Midland,MI,33184
Beaumont-Port Arthur,TX,13140,Beaumont-Port Arthur,TX,30728
Beckley,WV,13220,Beckley,WV,30654
Bellingham,WA,13380,Bellingham,WA,30666
Bend-Redmond,OR,13460,Bend-Redmond,OR,34489
Billings,MT,13740,Billings,MT,30620
Binghamton,NY,13780,Binghamton,NY,30577
Birmingham-Hoover,AL,13820,Birmingham,AL,30599
Bismarck,ND,13900,Bismarck-Mandan,ND,30627
Bloomington,IL,14010,Bloomington-Normal,IL,30685
Boise City,ID,14260,Boise,ID,30713
Brownsville-Harlingen,TX,15180,Brownsville,TX,30747
Brunswick,GA,15260,Brunswick,GA,30731
Buffalo-Cheektowaga-Niagara Falls,NY,15380,Buffalo,NY,30792
Buffalo-Cheektowaga-Niagara Falls,NY,15380,Niagara Falls,NY,32265
Burlington-South Burlington,VT NECTA,72400,Burlington,VT,30785
Cape Coral-Fort Myers,FL,15980,Fort Myers,FL,31714
Cape Girardeau,MO-IL,16020,Cape Girardeau,MO,30967
Casper,WY,16220,Casper,WY,31122
Cedar Rapids,IA,16300,Cedar Rapids-Iowa City,IA,31003
Champaign-Urbana,IL,16580,Champaign-Urbana,IL,31067
Charleston,WV,16620,Charleston-Dunbar,WV,31146
Charleston-North Charleston,SC,16700,Charleston,SC,30994
Charlotte-Concord-Gastonia,NC-SC,16740,Charlotte,NC,31057
Charlottesville,VA,16820,Charlottesville,VA,30990
Chattanooga,TN-GA,16860,Chattanooga,TN,30980
Cheyenne,WY,16940,Cheyenne,WY,31233
Chicago-Naperville-Arlington Heights,IL Metropolitan Division,16974,Chicago,IL,30977
Chicago-Naperville-Elgin,IL-IN-WI,16980,Chicago,IL,30977
Chico,CA,17020,Chico,CA,31002
Cincinnati,OH-KY-IN,17140,Cincinnati,OH,33105
Cleveland-Elyria,OH,17460,Cleveland,OH (Metropolitan Area),30647
College Station-Bryan,TX,17780,College Station-Bryan,TX,31049
Colorado Springs,CO,17820,Colorado Springs,CO,30189
Columbia,SC,17900,Columbia,SC,30868
Columbia,MO,17860,Jefferson City-Columbia,MO,32474
Columbus,GA-AL,17980,Columbus,GA,31150
Columbus,OH,18140,Columbus,OH,31066
Corpus Christi,TX,18580,Corpus Christi,TX,31140
Dallas-Fort Worth-Arlington,TX,19100,Dallas-Fort Worth,TX,30194
Dayton,OH,19380,Dayton,OH,31267
Deltona-Daytona Beach-Ormond Beach,FL,19660,Daytona Beach,FL,31252
Denver-Aurora-Lakewood,CO,19740,Denver,CO,30325
Des Moines-West Des Moines,IA,19780,Des Moines,IA,31423
Detroit-Dearborn-Livonia,MI Metropolitan Division,19804,Detroit,MI,31295
Detroit-Warren-Dearborn,MI,19820,Detroit,MI,31295
Dothan,AL,20020,Dothan,AL,31308
Dubuque,IA,20220,Dubuque,IA,31274
Duluth,MN-WI,20260,Duluth,MN,31337
Eau Claire,WI,20740,Eau Claire,WI,31471
El Centro,CA,20940,El Centro,CA,32363
El Paso,TX,21340,El Paso,TX,30615
Elmira,NY,21300,Elmira-Corning,NY,31537
Erie,PA,21500,Erie,PA,31577
Eugene,OR,21660,Eugene,OR,31603
Evansville,IN-KY,21780,Evansville,IN,31612
Fairbanks,AK,21820,Fairbanks,AK,31517
Fargo,ND-MN,22020,Fargo,ND,31637
Farmington,NM,22140,Farmington,NM,31711
Fayetteville,NC,22180,Fayetteville,NC,31641
Fayetteville-Springdale-Rogers,AR-MO,22220,Fayetteville,AR,31834
Flagstaff,AZ,22380,Flagstaff,AZ,31695
Flint,MI,22420,Flint,MI,31721
Florence,SC,22500,Florence,SC,31699
Florence-Muscle Shoals,AL,22520,Muscle Shoals,AL,33484
Fort Collins,CO,22660,Fort Collins-Loveland,CO,31719
Fort Smith,AR-OK,22900,Fort Smith,AR,31778
Fort Wayne,IN,23060,Fort Wayne,IN,31823
Fresno,CA,23420,Fresno,CA,31638
Gainesville,FL,23540,Gainesville,FL,31953
Grand Forks,ND-MN,24220,Grand Forks,ND,31898
Grand Island,NE,24260,Grand Island,NE,31980
Grand Junction,CO,24300,Grand Junction,CO,31921
Grand Rapids-Wyoming,MI,24340,Grand Rapids,MI,31986
Great Falls,MT,24500,Great Falls,MT,31895
Green Bay,WI,24580,Green Bay,WI,31977
Greensboro-High Point,NC,24660,Greensboro-High Point,NC,31995
Greenville,NC,24780,Greenville,NC,34092
Gulfport-Biloxi-Pascagoula,MS,25060,Gulfport-Biloxi,MS,31973
Hagerstown-Martinsburg,MD-WV,25180,Hagerstown,MD,32119
Harrisburg-Carlisle,PA,25420,Harrisburg,PA,32070
Hartford-West Hartford-East Hartford,CT NECTA,73450,Hartford,CT,30529
Hattiesburg,MS,25620,Hattiesburg-Laurel,MS,34109
Hilton Head Island-Bluffton-Beaufort,SC,25940,Hilton Head,SC,32124
Houston-The Woodlands-Sugar Land,TX,26420,Houston,TX,31453
Huntington-Ashland,WV-KY-OH,26580,Ashland,WV,32223
Huntsville,AL,26620,Huntsville,AL,30255
Idaho Falls,ID,26820,Idaho Falls,ID,32280
Indianapolis-Carmel-Anderson,IN,26900,Indianapolis,IN,32337
Iowa City,IA,26980,Cedar Rapids-Iowa City,IA,31003
Ithaca,NY,27060,Ithaca-Cortland,NY,32397
Jackson,MS,27140,Jackson-Vicksburg,MS,32448
Jacksonville,FL,27260,Jacksonville,FL,31136
Jacksonville,NC,27340,Jacksonville-Camp Lejeune,NC,33795
Jefferson City,MO,27620,Jefferson City-Columbia,MO,32474
Johnson City,TN,27740,Bristol-Johnson City-Kingsport,TN,35323
Johnstown,PA,27780,Johnstown,PA,32559
Joplin,MO,27900,Joplin,MO,32511
Kahului-Wailuku-Lahaina,HI,27980,Kahului,HI,33830
Kahului-Wailuku-Lahaina,HI,27980,Lahaina,HI,32492
Kalamazoo-Portage,MI,28020,Kalamazoo,MI,30469
Kansas City,MO-KS,28140,Kansas City,MO,33198
Kansas City,MO,92811,Kansas City,MO,33198
Kennewick-Richland,WA,28420,Pasco-Kennewick-Richland,WA,34252
Killeen-Temple,TX,28660,Killeen,TX,31982
Knoxville,TN,28940,Knoxville,TN,35412
La Crosse-Onalaska,WI-MN,29100,La Crosse,WI,33076
Lafayette,LA,29180,Lafayette,LA,32951
Lake Charles,LA,29340,Lake Charles,LA,31205
Lake Havasu City-Kingman,AZ,29420,Kingman,AZ,32297
Lancaster,PA,29540,Lancaster,PA,33032
Lansing-East Lansing,MI,29620,Lansing,MI,32884
Laredo,TX,29700,Laredo,TX,33038
Las Vegas-Henderson-Paradise,NV,29820,Las Vegas,NV,32211
Lawton,OK,30020,Lawton-Fort Sill,OK,32891
Lewiston,ID-WA,30300,Lewiston,ID,33127
Lexington-Fayette,KY,30460,Lexington,KY,32945
Lincoln,NE,30700,Lincoln,NE,33029
Little Rock-North Little Rock-Conway,AR,30780,Little Rock,AR,32600
Longview,TX,30980,Longview,TX,31905
Los Angeles-Long Beach-Anaheim,CA,31080,Los Angeles,CA (Metropolitan Area),32575
Louisville/Jefferson County,KY-IN,31140,Louisville,KY,33044
Lubbock,TX,31180,Lubbock,TX,32896
Lynchburg,VA,31340,Lynchburg,VA,33139
Macon,GA,31420,Macon,GA,33155
Madison,WI,31540,Madison,WI,33485
Manhattan,KS,31740,Manhattan-Ft. Riley,KS,33290
Mayaguez,PR,32420,Mayaguez,PR,33176
Medford,OR,32780,Medford,OR,33264
Memphis,TN-MS-AR,32820,Memphis,TN,33244
Merced,CA,32900,Merced,CA,33194
Miami-Fort Lauderdale-West Palm Beach,FL,33100,Miami,FL (Metropolitan Area),32467
Midland,MI,33220,Saginaw-Bay City-Midland,MI,33184
Midland,TX,33260,Midland-Odessa,TX,33158
Milwaukee-Waukesha-West Allis,WI,33340,Milwaukee,WI,33342
Minneapolis-St. Paul-Bloomington,MN-WI,33460,Minneapolis-St. Paul,MN,31650
Missoula,MT,33540,Missoula,MT,33486
Mobile,AL,33660,Mobile,AL,30562
Modesto,CA,33700,Modesto,CA,33424
Monroe,LA,33740,Monroe,LA,33377
Montgomery,AL,33860,Montgomery,AL,33277
Morgantown,WV,34060,Morgantown,WV,33282
Muskegon,MI,34740,Muskegon,MI,33344
Myrtle Beach-Conway-North Myrtle Beach,SC-NC,34820,Myrtle Beach,SC,31135
Nashville-Davidson--Murfreesboro--Franklin,TN,34980,Nashville,TN,30693
New Bern,NC,35100,New Bern-Morehead-Beaufort,NC,31617
New Haven,CT NECTA,75700,New Haven,CT,32244
New Orleans-Metairie,LA,35380,New Orleans,LA,33495
New York City,NY,93561,New York City,NY (Metropolitan Area),31703
North Port-Sarasota-Bradenton,FL,35840,Sarasota-Bradenton,FL,34986
Odessa,TX,36220,Midland-Odessa,TX,33158
Oklahoma City,OK,36420,Oklahoma City,OK,33851
Omaha-Council Bluffs,NE-IA,36540,Omaha,NE,33316
Orlando-Kissimmee-Sanford,FL,36740,Sanford,FL,34761
Orlando-Kissimmee-Sanford,FL,36740,Orlando,FL,31454
Owensboro,KY,36980,Owensboro,KY,33983
Palm Bay-Melbourne-Titusville,FL,37340,Melbourne,FL,33360
Panama City,FL,37460,Panama City,FL,31481
Parkersburg-Vienna,WV,37620,Parkersburg,WV,34131
Pensacola-Ferry Pass-Brent,FL,37860,Pensacola,FL,33728
Peoria,IL,37900,Peoria,IL,34108
Philadelphia,PA Metropolitan Division,37964,Philadelphia,PA,34100
Philadelphia City,PA,97961,Philadelphia,PA,34100
Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,37980,Philadelphia,PA,34100
Phoenix-Mesa-Scottsdale,AZ,38060,Phoenix,AZ,30466
Pittsburgh,PA,38300,Pittsburgh,PA,30198
Pocatello,ID,38540,Pocatello,ID,34113
Ponce,PR,38660,Ponce,PR,34254
Portland-South Portland,ME NECTA,76750,Portland,ME,34321
Portland-Vancouver-Hillsboro,OR-WA,38900,Portland,OR,34057
Prescott,AZ,39140,Prescott,AZ,34237
Provo-Orem,UT,39340,Provo,UT,34314
Pueblo,CO,39380,Pueblo,CO,34288
Punta Gorda,FL,39460,Punta Gorda,FL,34082
Raleigh,NC,39580,Raleigh-Durham,NC,34492
Rapid City,SD,39660,Rapid City,SD,34457
Redding,CA,39820,Redding,CA,33792
Reno,NV,39900,Reno,NV,34570
Richmond,VA,40060,Richmond,VA,34524
Roanoke,VA,40220,Roanoke,VA,34574
Rochester,MN,40340,Rochester,MN,32547
Rochester,NY,40380,Rochester,NY,34576
Rockford,IL,40420,Rockford,IL,34512
Sacramento--Roseville--Arden-Arcade,CA,40900,Sacramento,CA,33192
Saginaw,MI,40980,Saginaw-Bay City-Midland,MI,33184
Salinas,CA,41500,Salinas-Monterey,CA,34922
Salisbury,MD-DE,41540,Salisbury,MD,34704
Salt Lake City,UT,41620,Salt Lake City,UT,34614
San Angelo,TX,41660,San Angelo,TX,34842
San Antonio-New Braunfels,TX,41700,San Antonio,TX,33214
San Diego-Carlsbad,CA,41740,San Diego,CA,33570
San Diego-Carlsbad,CA,41740,Carlsbad,CA,31041
San Francisco-Oakland-Hayward,CA,41860,San Francisco,CA (Metropolitan Area),32457
San Juan-Carolina-Caguas,PR,41980,San Juan,PR,34819
Santa Fe,NM,42140,Santa Fe,NM,34674
Santa Maria-Santa Barbara,CA,42200,Santa Barbara,CA,34689
Santa Maria-Santa Barbara,CA,42200,Santa Maria,CA,34905
Santa Rosa,CA,42220,Santa Rosa,CA,34433
Savannah,GA,42340,Savannah,GA,34685
Seattle-Bellevue-Everett,WA Metropolitan Division,42644,Seattle,WA,30559
Seattle-Tacoma-Bellevue,WA,42660,Seattle,WA,30559
Shreveport-Bossier City,LA,43340,Shreveport,LA,30476
Sioux City,IA-NE-SD,43580,Sioux City,IA,35048
Sioux Falls,SD,43620,Sioux Falls,SD,31775
South Bend-Mishawaka,IN-MI,43780,South Bend,IN,34696
Spartanburg,SC,43900,Greenville-Spartanburg,SC,31871
Spokane-Spokane Valley,WA,44060,Spokane,WA,31884
Springfield,IL,44100,Springfield,IL,34952
Springfield,MO,44180,Springfield,MO,34783
St. George,UT,41100,St. George,UT,34794
St. Louis,MO-IL,41180,St. Louis,MO,31123
State College,PA,44300,Philipsburg-State College,PA,34711
Staunton-Waynesboro,VA,44420,Staunton,VA,34802
Stockton-Lodi,CA,44700,Stockton,CA,34716
Syracuse,NY,45060,Syracuse,NY,35096
Tallahassee,FL,45220,Tallahassee,FL,35249
Tampa-St. Petersburg-Clearwater,FL,45300,Tampa,FL (Metropolitan Area),33195
Texarkana,TX-AR,45500,Texarkana,AR,35401
Toledo,OH,45780,Toledo,OH,35165
Tucson,AZ,46060,Tucson,AZ,30436
Tulsa,OK,46140,Tulsa,OK,34653
Tyler,TX,46340,Tyler,TX,35411
Urban Honolulu,HI,46520,Honolulu,HI,32134
Valdosta,GA,46660,Valdosta,GA,35550
Victoria,TX,47020,Victoria,TX,35569
Visalia-Porterville,CA,47300,Visalia,CA,35601
Waco,TX,47380,Waco,TX,30155
Walla Walla,WA,47460,Walla Walla,WA,30275
Waterloo-Cedar Falls,IA,47940,Waterloo,IA,30268
Watertown-Fort Drum,NY,48060,Watertown,NY,30361
Wausau,WI,48140,Wausau-Mosinee-Stevens Point,WI,30424
Wenatchee,WA,48300,Wenatchee,WA,31470
Wichita,KS,48620,Wichita,KS,30928
Wichita Falls,TX,48660,Wichita Falls,TX,34960
Williamsport,PA,48700,Williamsport,PA,32365
Wilmington,NC,48900,Wilmington,NC,32323
Yakima,WA,49420,Yakima,WA,36101
Youngstown-Warren-Boardman,OH-PA,49660,Youngstown-Warren,OH,36133
Yuma,AZ,49740,Yuma,AZ,33785
